,Event,Description,Team,Lat,Lon
220,Giveaway,Giveaway by Pat Maroon,St. Louis Blues,32.0,43.0
221,Missed Shot,Jake DeBrusk - Over Net,Boston Bruins,-4.0,72.0
222,Hit,Ivan Barbashev hit Matt Grzelcyk,St. Louis Blues,14.0,-95.0
223,Takeaway,Takeaway by Alexander Steen,St. Louis Blues,25.0,48.0
224,Hit,Ivan Barbashev hit Sean Kuraly,St. Louis Blues,26.0,8.0
225,Shot,Oskar Sundqvist Wrist Shot saved by Tuukka Rask,St. Louis Blues,-2.0,-55.0
226,Shot,Oskar Sundqvist Wrist Shot saved by Tuukka Rask,St. Louis Blues,1.0,-79.0
227,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,-6.0,-84.0
228,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,-33.0,-21.0
229,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-12.0,-82.0
230,Hit,Carl Gunnarsson hit David Pastrnak,St. Louis Blues,-2.0,98.0
231,Blocked Shot,Carl Gunnarsson,St. Louis Blues,7.0,69.0
232,Hit,Matt Grzelcyk hit David Perron,Boston Bruins,37.0,-10.0
233,Hit,Charlie Coyle hit Vince Dunn,Boston Bruins,-7.0,97.0
234,Hit,Ivan Barbashev hit Marcus Johansson,St. Louis Blues,-25.0,14.0
235,Shot,Sean Kuraly Backhand saved by Jordan Binnington,Boston Bruins,-4.0,78.0
236,Hit,Torey Krug hit Pat Maroon,Boston Bruins,6.0,-96.0
237,Shot,Colton Parayko Wrist Shot saved by Tuukka Rask,St. Louis Blues,18.0,-32.0
239,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
240,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,19.0,80.0
242,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
243,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,-1.0,-7.0
245,Faceoff,Tyler Bozak faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
246,Giveaway,Giveaway by Vince Dunn,St. Louis Blues,30.0,87.0
247,Blocked Shot,Alexander Steen,St. Louis Blues,-5.0,71.0
248,Hit,Carl Gunnarsson hit Noel Acciari,St. Louis Blues,-33.0,69.0
249,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,-27.0,42.0
250,Shot,Joakim Nordstrom Wrist Shot saved by Jordan Binnington,Boston Bruins,8.0,77.0
251,Missed Shot,Charlie McAvoy - Wide of Net,Boston Bruins,3.0,34.0
252,Blocked Shot,Vince Dunn,St. Louis Blues,11.0,61.0
253,Hit,Pat Maroon hit Charlie McAvoy,St. Louis Blues,-15.0,-95.0
254,Hit,Matt Grzelcyk hit Ivan Barbashev,Boston Bruins,-9.0,-94.0
255,Blocked Shot,Jay Bouwmeester,St. Louis Blues,6.0,67.0
256,Goal,"Brayden Schenn (5) Snap Shot, assists: Vladimir Tarasenko (6), Jaden Schwartz (8)",St. Louis Blues,3.0,-67.0
257,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,0.0,0.0
259,Faceoff,Ivan Barbashev faceoff won against Brad Marchand,St. Louis Blues,-22.0,69.0
260,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-10.0,74.0
261,Missed Shot,Patrice Bergeron - Wide of Net,Boston Bruins,-23.0,46.0
263,Faceoff,Charlie Coyle faceoff won against Oskar Sundqvist,Boston Bruins,22.0,69.0
264,Shot,Danton Heinen Snap Shot saved by Jordan Binnington,Boston Bruins,23.0,60.0
266,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,22.0,69.0
267,Missed Shot,Jake DeBrusk - Wide of Net,Boston Bruins,11.0,57.0
268,Hit,Tyler Bozak hit Jake DeBrusk,St. Louis Blues,6.0,96.0
269,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,22.0,39.0
271,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
272,Hit,Patrice Bergeron hit Alexander Steen,Boston Bruins,36.0,66.0
273,Hit,Brayden Schenn hit Marcus Johansson,St. Louis Blues,37.0,73.0
274,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,19.0,-46.0
275,Giveaway,Giveaway by Torey Krug,Boston Bruins,34.0,-57.0
276,Goal,"Zach Sanford (1) Snap Shot, assists: David Perron (9), Ryan O'Reilly (15)",St. Louis Blues,7.0,-77.0
277,Faceoff,Oskar Sundqvist faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
278,Hit,Ivan Barbashev hit Sean Kuraly,St. Louis Blues,-29.0,-68.0
279,Shot,Alexander Steen Snap Shot saved by Tuukka Rask,St. Louis Blues,7.0,-69.0
280,Shot,Ryan O'Reilly Snap Shot saved by Tuukka Rask,St. Louis Blues,-4.0,-65.0
282,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
284,Shot,Marcus Johansson Wrist Shot saved by Jordan Binnington,Boston Bruins,3.0,42.0
286,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,69.0
287,Missed Shot,Charlie Coyle - Wide of Net,Boston Bruins,-13.0,57.0
288,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,-6.0,45.0
289,Goal,"Matt Grzelcyk (4) Wrist Shot, assists: David Krejci (12)",Boston Bruins,24.0,44.0
290,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
291,Blocked Shot,Colton Parayko,St. Louis Blues,13.0,73.0
293,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,69.0
295,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,22.0,20.0
296,Hit,Torey Krug hit Alexander Steen,Boston Bruins,38.0,48.0
297,Missed Shot,Danton Heinen - Wide of Net,Boston Bruins,-27.0,52.0
